,SHOP_JUL_NET,PAY_JUL,SHOP_AUG_NET,PAY_AUG,SHOP_SEP_NET,PAY_SEP,SHOP_OCT_NET,PAY_OCT,SHOP_NOV_NET,PAY_NOV,SHOP_DEC_NET,PAY_DEC,SEX,EDUCATION,MARRIAGE,BIRTH_DATE,DEFAULT PAYMENT JAN
53613503,489.0026672,0,-8.9738936,2,29.8732272,0,-47.1949288,0,-119.2842136,0,1032.1766456,0,M,university,single,,0
35524089,-14.3999688,-2,11.627304,0,536.6448,0,2603.4129928,0,-91.110362,0,-100.173696,0,M,university,married,04/01/1983,1
58777007,-78.9762264,-2,0.0,-2,0.0,-1,30.2011768,-1,1743.0819376,0,7.185078,0,F,high school,married,02/01/1975,0
26913418,-179.6567536,-2,-182.8468088,-2,18.2161096,-2,128.19848,-2,-136.4270336,-2,8.3179944,-2,F,graduate school,married,15/01/1977,0
41993633,0.0,-1,569.43976,-1,-569.43976,-1,29.8136,-1,89.4408,-1,-90.037072,-1,F,graduate school,married,09/01/1978,1
46414261,1622.8436888,0,-37.773831,0,-36.253338,0,675.576176,0,-0.864594,0,-52.680631,2,M,university,single,27/01/1989,1
10438751,607.2732184,0,-36.4322192,0,21.1378424,0,-11.5378632,0,8.347808,2,56.2284496,1,M,university,married,08/01/1985,1
19267237,-554.1751968,0,34.28564,0,112.1587632,-1,6.70806,-1,140.571124,-1,-134.3997088,-1,F,university,single,16/01/1983,0
39470148,444.1928264,0,571.4968986,0,-469.3853186,0,741.1660956,0,19.438468,0,-53.336531,2,M,university,single,07/01/1992,1
24381216,583.9291696,0,-23.4931168,0,-36.3129648,0,195.2194528,0,36.3129648,0,485.4250354,0,F,university,married,19/01/1992,1
25126380,2086.922186,0,-9.659606,0,-57.540248,0,-24.417338,0,-30.648381,2,178.076633,1,M,university,married,12/01/1973,0
30961119,-37.6247632,-1,-17.1130064,-1,4.5018536,-1,71.4930128,-1,-75.9948664,-1,9.4210976,-1,F,high school,single,31/01/1982,0
18897715,3161.73228,2,513.569074,0,-180.730044,0,1.311799,0,-43.766365,0,-47.791201,0,M,high school,married,28/01/1977,1
12696362,508.6498292,0,500.838667,0,-1591.539409,0,382.419047,-1,1482.332192,-1,-2436.874223,-1,F,graduate school,married,06/01/1965,0
40407190,658.3141016,2,-38.6980528,2,14.2509008,2,-49.8185256,2,18.5738728,2,-101.217172,2,F,university,married,,1
19419760,1749.909252,2,-54.558888,2,-105.748839,2,46.509216,-1,287.313663,2,54.380006,2,F,university,single,19/01/1992,0
35978526,4898.3148526,2,340.083735,0,-436.083527,0,-1723.583843,0,-41.023514,0,-92.690482,0,F,university,married,04/01/1960,0
48361974,473.1716456,0,-52.7402584,0,-83.329012,2,14.4894096,0,-75.4582216,0,-85.7737272,0,F,graduate school,single,09/01/1987,1
27564131,225.5995112,0,-49.9079664,0,-140.3624288,-1,-81.8681456,-1,288.1782576,0,8.6161304,0,F,graduate school,single,30/01/1987,0
45489390,2120.611554,0,-554.980164,0,-569.767709,0,173.008321,0,137.679204,0,-75.666916,0,M,university,single,15/01/1987,0
34687322,-72.447048,0,785.6181736,0,1171.1378352,-1,172.859253,0,-0.477018,0,135.025795,0,F,university,single,15/01/1972,1
49190836,1698.2720972,0,774.4977,0,644.748914,0,652.768772,0,-27.070749,0,859.198139,0,F,university,single,26/01/1973,0
34005488,0.0,-2,0.0,-2,0.0,-1,82.6432992,-1,990.4376058,-1,-1060.261057,-1,F,graduate school,single,22/01/1986,0
58996480,-117.5848384,-1,-1.9975112,2,29.2471416,0,-11.6869312,0,7.0658232,0,-2.7130376,0,F,high school,married,16/01/1974,0
41269151,511.1243584,0,46.8967928,0,5.96272,0,-25.34156,0,-5.0384984,2,18.0968552,1,F,high school,single,04/01/1970,0
54925120,5415.8193212,0,116.869312,0,297.808051,0,1037.900857,0,-177.39092,0,-91.080548,0,F,graduate school,single,01/01/1988,0
56423387,145.3114864,-1,-63.8607312,-1,-114.0072064,-1,77.4557328,-1,-181.8033328,-1,40.6359368,-1,F,graduate school,married,06/01/1966,0
30681904,0.0,-2,0.0,-2,0.0,0,2441.435704,0,2410.519001,0,-78.618463,2,M,university,single,21/01/1984,1
10872689,1280.464306,2,-98.176184,2,30.708008,2,-29.008633,2,-36.10427,2,-72.536489,2,F,graduate school,married,21/01/1983,1
52211921,442.1058744,0,492.7889944,0,739.5263482,0,441.211466,0,-47.910455,0,-36.700542,0,M,university,single,,0
23909810,1270.3276826,0,-4.829803,0,-32.437197,0,-279.591941,0,-298.7918992,0,-438.3791744,-1,M,graduate school,single,04/01/1988,0
52207017,-44.153942,0,334.359524,0,623.611072,0,1135.778905,0,269.097554,0,1007.610239,0,F,university,single,16/01/1982,0
10985930,513.3305648,2,32.944028,2,-51.5179008,2,-11.5080496,2,-12.521712,2,-12.4620848,1,M,university,married,24/01/1967,1
50206169,1677.044814,0,-44.034688,0,-42.842143,0,122.593523,0,492.520672,2,1292.121424,1,F,high school,married,04/01/1955,1
36872849,38.1017808,-1,-26.4744768,-1,-2.6235968,-1,-9.0037072,-1,47.4334376,-1,-47.4334376,-2,F,university,single,16/01/1987,0
31681972,0.0,0,462.85614,0,-12.8496616,0,9.987556,0,-30.1415496,0,-18.8421952,0,M,graduate school,single,14/01/1972,0
49902601,-597.2260352,-2,580.3515376,-2,-217.5498392,-2,52.2334272,-2,-356.4812152,-2,-40.4868688,-2,F,university,single,14/01/1979,0
50561918,-19.676976,-2,178.8816,-2,-127.3636992,-2,2.1167656,-2,2.7428512,-2,57.9576384,-2,F,university,married,09/01/1981,0
46730642,336.5359168,0,120.3873168,0,-24.8049152,0,11.2397272,2,4.1142768,2,-125.0084248,2,M,university,single,24/01/1994,1
13673924,2484.21822,0,-155.77606,0,-95.671842,2,62.370051,2,-304.873874,2,50.325357,1,F,high school,married,20/01/1958,0
16303077,241.9671776,0,1.1031032,2,20.273248,2,-14.1018328,2,23.254608,0,-10.8223368,0,F,high school,single,28/01/1962,0
17507873,294.111164,0,-24.3278976,0,-15.5925128,2,-15.9204624,0,-55.3936688,0,19.4086536,0,M,university,single,01/01/1994,0
35350659,1180.7080008,0,-20.422316,0,-25.908018,0,-28.680684,0,-21.167656,0,-31.930365,0,M,high school,married,26/01/1982,0
