,CUM_SHOP_JUL,PAY_JUL,CUM_SHOP_AUG,PAY_AUG,CUM_SHOP_SEP,PAY_SEP,CUM_SHOP_OCT,PAY_OCT,CUM_SHOP_NOV,PAY_NOV,CUM_SHOP_DEC,PAY_DEC,SEX,EDUCATION,MARRIAGE,BIRTH_DATE,DEFAULT PAYMENT JAN
53613503,548.6298672,0,569.4695736,2,599.3428008,0,620.719152,0,650.5029384,0,1772.120384,0,M,university,single,,0
35524089,-14.3999688,-2,-2.7726648,0,533.8721352,0,3167.098728,0,3235.8190756,0,3284.7133796,0,M,university,married,04/01/1983,1
58777007,-49.1626264,-2,-49.1626264,-2,-49.1626264,-1,-1.9975112,-1,2273.6745768,0,2340.4868548,0,F,high school,married,02/01/1975,0
26913418,36.7601688,-2,152.3773096,-2,241.2218376,-2,458.2052184,-2,539.0000744,-2,627.874416,-2,F,graduate school,married,15/01/1977,0
41993633,0.0,-1,569.43976,-1,569.43976,-1,599.25336,-1,718.50776,-1,747.725088,-1,F,graduate school,married,09/01/1978,1
46414261,1683.6932464,0,1711.5093354,0,1737.8645574,0,2473.0679334,0,2564.6254994,0,2619.6614052,2,M,university,single,27/01/1989,1
10438751,607.2732184,0,621.5241192,0,668.0333352,0,677.066856,0,724.2617848,2,780.4902344,1,M,university,married,08/01/1985,1
19267237,-277.0875984,0,-242.8019584,0,-130.6431952,-1,22.509268,-1,417.5990952,-1,577.1614824,-1,F,university,single,16/01/1983,0
39470148,462.0809864,0,1069.1156962,0,617.9763008,0,1378.2827276,0,1436.4788756,0,1472.5831446,2,M,university,single,07/01/1992,1
24381216,692.7488096,0,788.5100928,0,990.705928,0,1245.5525808,0,1386.3622136,0,1931.414449,0,F,university,married,19/01/1992,1
25126380,2176.362986,0,2234.2609976,0,2281.0683496,0,2346.0918116,0,2411.264341,2,2626.9359236,1,M,university,married,12/01/1973,0
30961119,-10.2558784,-1,-10.2558784,-1,-5.7540248,-1,70.2408416,-1,70.2408416,-1,79.6619392,-1,F,high school,single,31/01/1982,0
18897715,3280.98668,2,3794.555754,0,3882.14811,0,4014.639749,0,4149.754984,0,4280.845383,0,M,high school,married,28/01/1977,1
12696362,1164.0720116,0,1701.3130842,0,2060.4178962,0,2442.8369432,-1,5036.3816342,-1,5193.0521022,-1,F,graduate school,married,06/01/1965,0
40407190,658.3141016,2,673.2805288,2,687.5314296,2,697.340104,2,715.9139768,2,733.9512048,2,F,university,married,,1
19419760,1824.443252,2,1859.325164,2,1887.737525,2,1934.246741,-1,4080.229669,2,4134.7885566,2,F,university,single,19/01/1992,0
35978526,5494.6464798,2,6028.9956324,0,6113.5768158,0,6178.8089728,0,6286.8534588,0,6387.9513768,0,F,university,married,04/01/1960,0
48361974,473.1716456,0,480.0585872,0,486.1703752,2,500.6597848,0,505.4299608,0,509.0970336,0,F,graduate school,single,09/01/1987,1
27564131,285.2267112,0,294.9459448,0,303.651516,-1,400.6649704,-1,778.284028,0,849.5683456,0,F,graduate school,single,30/01/1987,0
45489390,2275.642274,0,2316.93411,0,2343.438401,0,2814.582722,0,3252.633946,0,3477.1303548,0,M,university,single,15/01/1987,0
34687322,19.7067896,0,808.3063232,0,2012.9546448,-1,5004.3916418,0,5051.6163838,0,5279.0643388,0,F,university,single,15/01/1972,1
49190836,2524.2280716,0,3424.5391636,0,4191.1362608,0,4995.5071888,0,5165.2360134,0,6218.2225524,0,F,university,single,26/01/1973,0
34005488,0.0,-2,0.0,-2,0.0,-1,82.6432992,-1,1155.7242042,-1,1168.5440522,-1,F,graduate school,single,22/01/1986,0
58996480,-45.5849944,-1,-21.167656,2,8.0794856,0,16.3378528,0,56.4371448,0,93.8233992,0,F,high school,married,16/01/1974,0
41269151,511.1243584,0,558.0211512,0,575.9093112,0,598.2695112,0,646.8954928,2,664.992348,1,F,high school,single,04/01/1970,0
54925120,5595.7145836,0,5891.882886,0,6369.4371314,0,7676.0777788,0,7805.975634,0,7983.217486,0,F,graduate school,single,01/01/1988,0
56423387,213.763512,-1,432.1183184,-1,536.4659184,-1,718.2692512,-1,718.2692512,-1,758.905188,-1,F,graduate school,married,06/01/1966,0
30681904,0.0,-2,0.0,-2,0.0,0,2441.435704,0,4971.209105,0,5119.174002,2,M,university,single,21/01/1984,1
10872689,1349.035586,2,1370.113802,2,1400.82181,2,1431.440377,2,1460.926027,2,1490.4713044,2,F,graduate school,married,21/01/1983,1
52211921,471.9194744,0,973.6525488,0,1820.507857,0,2309.421083,0,2345.883116,0,2398.623374,0,M,university,single,,0
23909810,1317.7909338,0,1372.5883308,0,1393.0106466,0,1411.5547056,0,1426.6702008,0,1435.7037216,-1,M,graduate school,single,04/01/1988,0
52207017,909.881258,0,2257.903182,0,2944.1526276,0,4196.5623358,0,5658.2038898,0,6926.2061112,0,F,university,single,16/01/1982,0
10985930,543.1441648,2,576.0881928,2,584.197492,2,602.5030424,2,619.7949304,2,637.1464456,1,M,university,married,24/01/1967,1
50206169,1742.634734,0,1776.115406,0,1822.714063,0,2025.804306,0,2780.684658,2,4075.7576284,1,F,high school,married,04/01/1955,1
36872849,38.1017808,-1,49.7290848,-1,58.732792,-1,58.732792,-1,106.1662296,-1,106.1662296,-2,F,university,single,16/01/1987,0
31681972,0.0,0,462.85614,0,474.6026984,0,505.1020112,0,512.0187664,0,529.9069264,0,M,graduate school,single,14/01/1972,0
