,CUM_SHOP_JUL,PAY_JUL,CUM_SHOP_AUG,PAY_AUG,CUM_SHOP_SEP,PAY_SEP,CUM_SHOP_OCT,PAY_OCT,CUM_SHOP_NOV,PAY_NOV,CUM_SHOP_DEC,PAY_DEC,SEX,EDUCATION,MARRIAGE,BIRTH_DATE,DEFAULT PAYMENT JAN
53613503,0.32804,0,0.32202,2,0.34206,0,0.3104,0,0.23038,0,0.9228,0,M,university,single,,0
35524089,-0.00254210526316,-2,-0.000489473684211,0,0.0942473684211,0,0.553842105263,0,0.537757894666,0,0.52007368414,0,M,university,married,04/01/1983,1
58777007,-0.0126142857143,-2,-0.0126142857143,-2,-0.0126142857143,-1,-0.00779047619048,-1,0.270619047619,0,0.271766666731,0,F,high school,married,02/01/1975,0
26913418,-0.0200866666667,-2,-0.04053,-2,-0.0384933333333,-2,-0.02416,-2,-0.0394133333333,-2,-0.0384833333333,-2,F,graduate school,married,15/01/1977,0
41993633,0.0,-1,0.159166666667,-1,0.0,-1,0.00833333333333,-1,0.0333333333333,-1,0.00816666666667,-1,F,graduate school,married,09/01/1978,1
46414261,0.6804125,0,0.664575000084,0,0.649374999916,0,0.932624999916,0,0.932262500084,0,0.910175000168,2,M,university,single,27/01/1989,1
10438751,1.01845,0,0.95735,0,0.9928,0,0.97345,0,0.98745,2,1.08175,1,M,university,married,08/01/1985,1
19267237,-0.0516333333333,0,-0.0484388888889,0,-0.0379888888889,-1,-0.0373638888889,-1,-0.0242666666667,-1,-0.0367888888889,-1,F,university,single,16/01/1983,0
39470148,0.29798,0,0.681360000134,0,0.36648,0,0.863679999732,0,0.876720000268,0,0.840939999866,2,M,university,single,07/01/1992,1
24381216,0.39172,0,0.37596,0,0.3516,0,0.48256,0,0.50692,0,0.832560000134,0,F,university,married,19/01/1992,1
25126380,0.874987499832,0,0.8709375,0,0.8468125,0,0.836575000168,0,0.823725000084,2,0.898387500168,1,M,university,married,12/01/1973,0
